period,movie_id,title,release_year,nb_cast_total,nb_cast_in_graph,nb_communities_in_movie,dominant_community,dominant_community_count,dominant_community_share,is_coherent_with_community,communities_distribution
1990_1999,11374,Edtv,1999.0,51,51,7,16,45,0.882,True,"{16: 45, 20: 1, 13: 1, 12: 1, 3: 1, 8: 1, 26: 1}"
1990_1999,9713,Holy Man,1998.0,5,5,3,1,3,0.6,True,"{27: 1, 1: 3, 41: 1}"
1990_1999,1813,The Devil's Advocate,1997.0,47,47,8,8,40,0.851,True,"{32: 1, 17: 1, 8: 40, 13: 1, 26: 1, 10: 1, 15: 1, 30: 1}"
1990_1999,8840,DragonHeart,1996.0,18,18,7,11,11,0.611,True,"{17: 1, 3: 2, 6: 1, 24: 1, 11: 11, 36: 1, 33: 1}"
1990_1999,13,Forrest Gump,1994.0,66,66,3,20,63,0.955,True,"{20: 63, 13: 1, 16: 2}"
1990_1999,10530,Pocahontas,1995.0,16,16,9,23,6,0.375,False,"{23: 6, 6: 1, 30: 1, 33: 2, 11: 1, 22: 1, 8: 1, 34: 1, 38: 2}"
1990_1999,9327,The Nutty Professor,1996.0,21,21,5,3,16,0.762,True,"{27: 2, 3: 16, 1: 1, 33: 1, 14: 1}"
1990_1999,10603,George of the Jungle,1997.0,49,49,7,21,40,0.816,True,"{13: 3, 21: 40, 1: 1, 24: 1, 0: 2, 18: 1, 3: 1}"
1990_1999,8839,Casper,1995.0,34,34,9,1,25,0.735,True,"{1: 25, 22: 1, 13: 2, 20: 1, 24: 1, 41: 1, 33: 1, 36: 1, 6: 1}"
1990_1999,8963,Crimson Tide,1995.0,18,18,11,8,6,0.333,False,"{31: 1, 8: 6, 38: 1, 3: 2, 27: 2, 36: 1, 4: 1, 41: 1, 0: 1, 1: 1, 28: 1}"
1990_1999,8984,Disclosure,1994.0,12,12,10,3,3,0.25,False,"{9: 1, 38: 1, 20: 1, 14: 1, 3: 3, 35: 1, 12: 1, 24: 1, 1: 1, 2: 1}"
1990_1999,795,City of Angels,1998.0,16,16,6,14,11,0.688,True,"{14: 11, 17: 1, 40: 1, 25: 1, 33: 1, 1: 1}"
1990_1999,11353,Bowfinger,1999.0,43,43,5,27,39,0.907,True,"{27: 39, 13: 1, 10: 1, 11: 1, 7: 1}"
1990_1999,9374,Death Becomes Her,1992.0,20,20,7,8,14,0.7,True,"{8: 14, 15: 1, 30: 1, 24: 1, 20: 1, 2: 1, 33: 1}"
1990_1999,2320,Executive Decision,1996.0,18,18,9,12,5,0.278,False,"{3: 2, 20: 2, 40: 2, 14: 1, 12: 5, 27: 1, 22: 1, 32: 2, 39: 2}"
1990_1999,8077,Alien³,1992.0,25,25,5,9,18,0.72,True,"{36: 1, 9: 18, 6: 4, 31: 1, 15: 1}"
1990_1999,8818,Evita,1996.0,12,12,3,33,10,0.833,True,"{33: 10, 4: 1, 6: 1}"
1990_1999,8195,Ronin,1998.0,33,33,4,6,30,0.909,True,"{19: 1, 15: 1, 6: 30, 8: 1}"
1990_1999,10586,The Ghost and the Darkness,1996.0,15,15,6,11,10,0.667,True,"{9: 1, 3: 1, 11: 10, 6: 1, 0: 1, 35: 1}"
1990_1999,12117,Instinct,1999.0,27,27,10,3,18,0.667,True,"{4: 1, 7: 1, 20: 1, 3: 18, 14: 1, 36: 1, 6: 1, 16: 1, 11: 1, 9: 1}"
1990_1999,12123,Chain Reaction,1996.0,75,75,1,32,75,1.0,True,{32: 75}
1990_1999,9566,The Fan,1996.0,10,10,7,14,4,0.4,False,"{19: 1, 2: 1, 14: 4, 10: 1, 4: 1, 24: 1, 3: 1}"
1990_1999,34314,Turbulence,1997.0,45,45,6,23,40,0.889,True,"{19: 1, 34: 1, 6: 1, 23: 40, 3: 1, 22: 1}"
1990_1999,242,The Godfather: Part III,1990.0,38,38,4,41,35,0.921,True,"{17: 1, 41: 35, 11: 1, 19: 1}"
1990_1999,9444,Anastasia,1997.0,12,12,9,8,4,0.333,False,"{17: 1, 14: 1, 37: 1, 33: 1, 8: 4, 20: 1, 1: 1, 24: 1, 15: 1}"
1990_1999,39437,Beloved,1998.0,9,9,5,40,5,0.556,False,"{40: 5, 1: 1, 6: 1, 41: 1, 14: 1}"
1990_1999,8741,The Thin Red Line,1998.0,26,26,11,14,14,0.538,False,"{20: 1, 14: 14, 6: 1, 41: 3, 16: 1, 38: 1, 19: 1, 13: 1, 32: 1, 21: 1, 9: 1}"
1990_1999,1850,Man on the Moon,1999.0,17,17,7,39,11,0.647,True,"{34: 1, 39: 11, 6: 1, 14: 1, 37: 1, 13: 1, 31: 1}"
1990_1999,524,Casino,1995.0,45,45,8,19,38,0.844,True,"{19: 38, 16: 1, 31: 1, 32: 1, 9: 1, 8: 1, 22: 1, 13: 1}"
1990_1999,8367,Robin Hood: Prince of Thieves,1991.0,35,35,5,36,31,0.886,True,"{20: 1, 32: 1, 36: 31, 11: 1, 15: 1}"
1990_1999,9390,Jerry Maguire,1996.0,23,23,7,41,17,0.739,True,"{41: 17, 7: 1, 27: 1, 40: 1, 2: 1, 1: 1, 17: 1}"
1990_1999,2898,As Good as It Gets,1997.0,56,56,6,7,51,0.911,True,"{39: 1, 7: 51, 27: 1, 20: 1, 3: 1, 13: 1}"
1990_1999,10312,Patch Adams,1998.0,28,28,7,14,21,0.75,True,"{8: 2, 13: 1, 20: 1, 14: 21, 1: 1, 40: 1, 16: 1}"
1990_1999,628,Interview with the Vampire,1994.0,15,15,9,6,7,0.467,False,"{9: 1, 41: 1, 1: 1, 4: 1, 36: 1, 6: 7, 15: 1, 11: 1, 20: 1}"
1990_1999,9441,Stepmom,1998.0,10,10,5,14,6,0.6,True,"{30: 1, 20: 1, 14: 6, 16: 1, 4: 1}"
1990_1999,2112,Payback,1999.0,14,14,7,3,7,0.5,False,"{6: 1, 2: 1, 20: 1, 3: 7, 31: 2, 24: 1, 27: 1}"
1990_1999,10329,Congo,1995.0,21,21,12,24,7,0.333,False,"{14: 1, 24: 7, 40: 2, 1: 1, 6: 1, 20: 1, 33: 2, 17: 1, 4: 1, 3: 2, 11: 1, 32: 1}"
1990_1999,6950,Outbreak,1995.0,14,14,8,20,7,0.5,False,"{33: 1, 4: 1, 32: 1, 3: 1, 7: 1, 20: 7, 11: 1, 14: 1}"
1990_1999,66,Absolute Power,1997.0,11,11,7,14,5,0.455,False,"{36: 1, 8: 1, 14: 5, 4: 1, 10: 1, 41: 1, 33: 1}"
1990_1999,4421,G.I. Jane,1997.0,14,14,9,14,5,0.357,False,"{38: 1, 27: 1, 6: 1, 9: 1, 4: 2, 24: 1, 14: 5, 40: 1, 36: 1}"
1990_1999,2649,The Game,1997.0,46,46,10,9,33,0.717,True,"{9: 33, 20: 1, 31: 1, 1: 2, 22: 2, 12: 3, 39: 1, 6: 1, 16: 1, 14: 1}"
1990_1999,9631,The Negotiator,1998.0,47,47,13,14,32,0.681,True,"{19: 1, 3: 2, 16: 1, 20: 2, 14: 32, 39: 2, 1: 1, 24: 1, 26: 1, 40: 1, 9: 1, 4: 1, 12: 1}"
